Object Histogram:

Size	Count	Class description
160	4	java.awt.image.DataBufferInt
160	5	java.awt.Cursor
144	9	java.util.regex.Pattern$Branch
144	9	sun.awt.SunHints$Key
144	9	javax.swing.JViewport$ViewListener
144	3	sun.awt.motif.X11VolatileSurfaceManager
144	2	javax.swing.text.DefaultStyledDocument
144	9	javax.swing.text.DefaultCaret$Handler
144	6	javax.swing.plaf.basic.BasicRootPaneUI$RootPaneInputMap
144	3	sun.java2d.loops.Blit$GeneralMaskBlit
144	9	javax.swing.text.StyleConstants$ParagraphConstants
144	2	sun.net.www.protocol.jar.URLJarFile
144	9	java.io.File
144	6	javax.swing.text.StyleContext$FontKey
128	2	javax.swing.JTabbedPane$AccessibleJTabbedPane
128	4	sun.awt.X11.XPropertyEvent
128	4	javax.swing.text.DefaultEditorKit$VerticalPageAction
128	8	org.python.core.JavaFunc
128	8	javax.swing.LayoutComparator
128	4	org.python.core.PyFile
128	8	java.lang.ThreadLocal
128	8	java.lang.Boolean
128	8	javax.swing.plaf.basic.BasicScrollPaneUI$Handler
128	2	javax.swing.JScrollBar$AccessibleJScrollBar
128	2	javax.swing.table.TableColumn
128	8	sun.awt.X11.XRepaintArea
128	2	javax.swing.JPanel$AccessibleJPanel
128	2	sun.awt.X11.XInputMethod
128	4	javax.swing.LayoutFocusTraversalPolicy
128	8	javax.swing.plaf.metal.MetalScrollPaneUI$1
128	4	sun.java2d.pipe.Region
128	4	javax.swing.text.StyleContext
120	5	javax.imageio.spi.SubRegistry
120	3	sun.awt.image.SunVolatileImage
120	3	javax.swing.text.DefaultStyledDocument$SectionElement
112	7	java.util.regex.Pattern$Dummy
112	2	sun.nio.cs.StreamEncoder$CharsetSE
112	1	org.python.proxies.leoSwingFrame$SeeThroughBoxCaret$34
112	2	java.io.ExpiringCache$1
112	7	java.awt.font.FontRenderContext
112	3	java.lang.Thread[]
112	7	javax.swing.text.StyleConstants$CharacterConstants
104	4	java.lang.ref.SoftReference[]
104	1	java.awt.EventDispatchThread
104	1	sun.awt.X11.XDragSourceContextPeer
104	1	org.python.core.PySystemState
96	1	java.lang.ref.Reference$ReferenceHandler
96	1	java.lang.ref.Finalizer$FinalizerThread
96	4	sun.awt.im.InputMethodLocator
96	6	javax.swing.plaf.basic.BasicPopupMenuUI$Actions
96	2	org.python.modules.TimeFunctions
96	2	sun.font.CMap$CMapFormat4
96	3	javax.swing.JEditorPane$1
96	2	java.lang.ThreadGroup
96	6	sun.java2d.loops.RenderCache
96	3	javax.swing.plaf.basic.BasicSplitPaneUI$BasicHorizontalLayoutManager
96	2	sun.swing.PrintColorUIResource
96	3	java.security.CodeSource
96	1	sun.awt.X11.XIconWindow
96	6	sun.java2d.pipe.TextRenderer
96	4	java.lang.RuntimePermission
96	2	sun.nio.cs.ISO_8859_1$Encoder
96	3	javax.imageio.ImageTypeSpecifier$Grayscale
96	6	java.util.TreeMap$1
96	4	javax.swing.text.JTextComponent$DefaultKeymap
96	2	sun.awt.X11.XClipboard
96	3	org.python.proxies.leoSwingFrame$LineBorder2$55
96	1	javax.swing.plaf.basic.BasicListUI
96	3	sun.misc.URLClassPath
96	4	sun.reflect.UnsafeBooleanFieldAccessorImpl
96	1	java.util.logging.LogManager$Cleaner
96	6	sun.java2d.pipe.DuctusShapeRenderer
96	4	javax.swing.border.EmptyBorder
96	6	javax.swing.JRootPane$RootLayout
96	4	org.python.modules.struct$BEUnsignedIntFormatDef
96	3	java.security.ProtectionDomain
96	2	org.python.core.PySystemStateFunctions
96	4	org.python.modules.struct$BEIntFormatDef
96	2	java.nio.HeapByteBuffer
96	1	sun.font.FileFont[]
96	3	javax.imageio.ImageTypeSpecifier$Interleaved
96	1	sun.font.CompositeFont[]
96	3	sun.awt.X11.XSizeHints
96	6	javax.swing.plaf.metal.MetalLookAndFeel$FontActiveValue
96	4	java.awt.AWTKeyStroke
88	1	javax.swing.ToolTipManager
88	1	com.sun.imageio.plugins.bmp.BMPImageReaderSpi
88	1	com.sun.imageio.plugins.jpeg.JPEGImageWriterSpi
88	1	com.sun.imageio.plugins.wbmp.WBMPImageWriterSpi
88	1	leoEditorKit$LeoDefaultStyledDocument
88	1	sun.security.provider.Sun
88	1	com.sun.imageio.plugins.jpeg.JPEGImageReaderSpi
88	1	com.sun.imageio.plugins.bmp.BMPImageWriterSpi
88	1	sun.awt.motif.MFontConfiguration
88	1	sun.awt.X11.XNETProtocol
88	1	com.sun.imageio.plugins.wbmp.WBMPImageReaderSpi
80	1	com.sun.imageio.plugins.gif.GIFImageReaderSpi
80	10	sun.awt.X11.XBaseWindow$StateLock
80	5	javax.swing.AbstractButton$ButtonActionPropertyChangeListener
80	4	java.awt.AWTKeyStroke[]
80	5	javax.swing.plaf.metal.OceanTheme$IFIcon
80	5	org.python.core.PyLong
80	5	javax.swing.plaf.metal.MetalLookAndFeel$MetalLazyValue
80	1	java.util.concurrent.ConcurrentHashMap$Segment[]
80	2	java.io.ExpiringCache
80	1	java.awt.geom.AffineTransform[]
80	5	java.util.BitSet
80	2	java.io.BufferedWriter
80	5	javax.imageio.spi.PartiallyOrderedSet
80	5	java.util.TreeSet
80	1	javax.swing.ImageIcon[]
80	1	com.sun.imageio.plugins.png.PNGImageReaderSpi
80	2	java.awt.GridBagLayoutInfo
80	1	sun.awt.X11.MotifDnDDropTargetProtocol
80	2	sun.awt.X11.XCreateWindowParams
80	2	java.awt.GridBagLayout
80	1	com.sun.imageio.plugins.png.PNGImageWriterSpi
80	1	double[][]
80	1	javax.swing.plaf.metal.MetalInternalFrameUI
72	3	javax.swing.plaf.basic.BasicBorders$RadioButtonBorder
72	3	java.awt.GridLayout
72	3	javax.swing.text.DefaultEditorKit$EndParagraphAction
72	3	org.python.modules.struct$CharFormatDef
72	3	javax.swing.text.DefaultStyledDocument$ElementBuffer$ElemChanges[]
72	3	javax.swing.SpringLayout
72	1	javax.swing.JScrollPane$AccessibleJScrollPane
72	3	sun.reflect.UnsafeStaticIntegerFieldAccessorImpl
72	3	org.python.proxies.leoCommands$Commands$59
72	3	javax.swing.plaf.basic.BasicTextPaneUI
72	3	javax.swing.text.DefaultEditorKit$EndWordAction
72	3	java.math.BigDecimal
72	1	sun.java2d.loops.MaskBlit$General
72	3	javax.swing.text.DefaultEditorKit$BeginWordAction
72	3	javax.swing.TransferHandler$TransferAction
72	1	sun.awt.X11.XDnDDropTargetProtocol
72	3	javax.accessibility.AccessibleRelation
72	1	sun.misc.Launcher$ExtClassLoader
72	3	javax.swing.plaf.BorderUIResource$LineBorderUIResource
72	3	sun.awt.X11.WindowDimensions
72	1	sun.font.GlyphList
72	3	javax.swing.plaf.basic.BasicTextAreaUI
72	1	org.python.proxies.leoSwingFrame$tcellEditor$49
72	4	sun.font.PhysicalStrike[]
72	1	sun.awt.X11.XRootWindow
72	3	org.python.core.PyFile$TextWrapper
72	3	javax.swing.text.DefaultEditorKit$EndLineAction
72	3	org.python.modules.struct$UnsignedByteFormatDef
72	3	javax.swing.text.StyledEditorKit$AlignmentAction
72	3	java.util.regex.Pattern$Add
72	3	org.python.modules.struct$ByteFormatDef
72	3	javax.swing.text.DefaultEditorKit$BeginParagraphAction
72	1	javax.imageio.ImageTypeSpecifier[]
72	3	org.python.modules.struct$PadFormatDef
72	3	javax.swing.plaf.metal.MetalTextFieldUI
72	1	java.awt.Cursor[]
72	3	org.python.modules.struct$PascalStringFormatDef
72	3	org.python.modules.struct$StringFormatDef
72	3	javax.swing.text.StyledEditorKit$FontFamilyAction
72	3	com.sun.java.swing.SwingUtilities2$LSBCacheEntry
72	3	javax.swing.plaf.BorderUIResource$EmptyBorderUIResource
72	3	javax.swing.text.DefaultEditorKit$BeginLineAction
